楼栋,房号,楼层,建筑面积,单价,总价,更新日期,已售
1,0301,3,147.3,6707.0,987941.1,25年11月11日,未网签
1,0302,3,147.3,7132.99,1050689.4,24年09月25日,已备案
1,0303,3,125.67,8249.0,1036651.8,24年03月13日,已备案
1,0304,3,125.67,8362.0,1050852.5,24年03月13日,已备案
1,0401,4,147.3,6780.0,998694.0,25年11月11日,未网签
1,0402,4,147.3,7212.52,1062404.8,24年12月17日,已备案
1,0403,4,125.67,8340.0,1048087.8,24年03月13日,已网签
1,0404,4,125.67,8453.0,1062288.5,24年03月13日,已备案
1,0501,5,147.3,8658.0,1275323.4,24年03月13日,已备案
1,0502,5,147.3,7292.06,1074120.1,24年06月20日,已备案
1,0503,5,125.67,8430.0,1059398.1,24年03月13日,已备案
1,0504,5,125.67,8544.0,1073724.5,24年03月13日,已备案
1,0601,6,147.3,8749.0,1288727.8,24年03月13日,已备案
1,0602,6,147.3,7371.59,1085835.5,24年05月17日,已备案
1,0603,6,125.67,8521.0,1070834.1,24年03月13日,已备案
1,0604,6,125.67,8635.0,1085160.5,24年03月13日,已备案
1,0701,7,147.3,8840.0,1302132.0,24年03月13日,已备案
1,0702,7,147.3,8499.0,1251902.8,24年03月13日,已备案
1,0703,7,125.67,8612.0,1082270.0,24年03月13日,已备案
1,0704,7,125.67,8726.0,1096596.4,24年03月13日,已备案
1,0801,8,147.3,8930.0,1315389.0,24年03月13日,已备案
1,0802,8,147.3,7530.66,1109266.2,24年06月29日,已备案
1,0803,8,125.67,8703.0,1093706.0,24年03月13日,已备案
1,0804,8,125.67,8817.0,1108032.4,24年03月13日,已备案
1,0901,9,147.3,9021.0,1328793.2,24年03月13日,已备案
1,0902,9,147.3,6498.0,1011569.7,25年06月19日,已备案
1,0903,9,125.67,8355.0,1049972.9,25年11月11日,未网签
1,0904,9,125.67,8908.0,1119468.4,24年03月13日,已备案
1,1001,10,147.3,9112.0,1342197.6,24年03月13日,已备案
1,1002,10,147.3,7688.85,1132568.2,24年09月07日,已备案
1,1003,10,125.67,8885.0,1116578.0,24年03月13日,已备案
1,1004,10,125.67,8999.0,1130904.4,24年03月13日,已备案
1,1101,11,147.3,9203.0,1355601.9,24年03月13日,已备案
1,1102,11,147.3,7768.39,1144283.5,24年06月07日,已备案
1,1103,11,125.67,8976.0,1128013.9,24年03月13日,已备案
1,1104,11,125.67,9090.0,1142340.2,24年03月13日,已备案
1,1201,12,147.3,9294.0,1369006.2,24年03月13日,已备案
1,1202,12,147.3,7084.0,1043473.2,25年11月11日,未网签
1,1203,12,125.67,9067.0,1139449.9,24年03月13日,已备案
1,1204,12,125.67,9180.0,1153650.6,24年03月13日,已备案
1,1301,13,147.3,9521.0,1402443.2,24年03月13日,已备案
1,1302,13,147.3,6781.0,998841.3,25年10月28日,已备案
1,1303,13,125.67,8830.0,1109666.1,25年11月11日,未网签
1,1304,13,125.67,9408.0,1182303.4,24年03月13日,已备案
1,1401,14,147.3,6815.3,1003893.7,25年06月24日,已备案
1,1402,14,147.3,8006.99,1179429.6,25年10月24日,已备案
1,1403,14,125.67,6579.5,826845.25,25年09月30日,已备案
1,1404,14,125.67,8543.63,1073677.5,24年12月11日,已备案
1,1501,15,147.3,10203.0,1502901.9,24年03月13日,已备案
1,1502,15,147.3,7299.0,1075142.8,25年11月11日,未网签
1,1503,15,125.67,8305.0,1043689.4,25年11月11日,未网签
1,1504,15,125.67,8841.66,1111131.4,24年10月18日,已备案
1,1701,17,147.3,9013.0,1327614.9,25年11月11日,未网签
1,1702,17,147.3,7059.0,1039790.7,24年11月29日,已备案
1,1703,17,125.67,7153.5,898980.4,25年03月01日,已备案
1,1704,17,125.67,7510.0,943781.7,24年12月11日,已备案
1,1801,18,147.3,7718.75,1136971.9,25年01月01日,已备案
1,1802,18,147.3,6886.0,1014307.7,25年02月26日,已备案
1,1803,18,125.67,8872.0,1114944.2,25年11月11日,未网签
1,1804,18,125.67,6505.0,817483.4,25年11月11日,已备案
1,1901,19,147.3,9586.31,1412063.1,24年10月15日,已备案
1,1902,19,147.3,7071.8,1041676.1,24年12月05日,已备案
1,1903,19,125.67,7171.27,1064750.2,25年04月12日,已备案
1,1904,19,125.67,7245.65,910560.8,25年03月19日,已备案
1,2001,20,147.3,7786.2,1146907.2,24年12月21日,已备案
1,2002,20,147.3,7108.85,1047133.6,24年12月18日,已备案
1,2003,20,125.67,7386.96,928319.56,25年05月07日,已备案
1,2004,20,125.67,7487.9,941004.4,25年03月01日,已备案
1,2101,21,147.3,7881.2,1160900.8,25年01月01日,已备案
1,2102,21,147.3,7016.7,1033559.94,25年01月24日,已备案
1,2103,21,125.67,7727.0,971052.06,25年11月11日,未网签
1,2104,21,125.67,7339.13,922308.5,25年06月07日,已备案
1,2201,22,147.3,7841.3,1155023.5,25年01月24日,已备案
1,2202,22,147.3,6886.0,1014307.7,25年02月18日,已备案
1,2203,22,125.67,7768.0,976204.56,25年11月11日,未网签
1,2204,22,125.67,7359.89,924917.06,25年05月14日,已备案
1,2301,23,147.3,7505.19,1300761.8,25年04月24日,已备案
1,2302,23,147.3,7054.7,1039157.3,25年02月21日,已备案
1,2303,23,125.67,7809.0,981357.0,25年11月11日,未网签
1,2304,23,125.67,7397.79,929680.56,25年05月21日,已备案
1,2401,24,147.3,7517.83,1107375.6,25年05月22日,已备案
1,2402,24,147.3,7054.7,1039157.3,25年03月13日,已备案
1,2403,24,125.67,7849.0,986383.8,25年11月11日,未网签
1,2404,24,125.67,7930.0,996563.1,25年11月11日,未网签
1,2501,25,147.3,7549.41,1314007.1,25年04月18日,已备案
1,2502,25,147.3,7198.34,1138330.9,25年04月12日,已备案
1,2503,25,125.67,7889.0,991410.6,25年11月11日,未网签
1,2504,25,125.67,7970.0,1001589.9,25年11月11日,未网签
1,2601,26,147.3,7655.91,1127715.1,25年04月25日,已备案
1,2602,26,147.3,7050.33,1038513.6,25年04月01日,已备案
1,2603,26,125.67,7930.0,996563.1,25年11月11日,未网签
1,2604,26,125.67,8011.0,1006742.4,25年11月11日,未网签
1,2701,27,147.3,7637.86,1125056.4,25年04月30日,已备案
1,2702,27,147.3,7125.95,1049652.5,25年03月07日,已备案
1,2703,27,125.67,7970.0,1001589.9,25年11月11日,未网签
1,2704,27,125.67,8051.0,1011769.2,25年11月11日,未网签
1,2801,28,147.3,8172.0,1203735.6,25年11月11日,未网签
1,2802,28,147.3,6708.3,988132.56,25年04月11日,已备案
1,2803,28,125.67,8011.0,1006742.4,25年11月11日,未网签
1,2804,28,125.67,8092.0,1016921.6,25年11月11日,未网签
1,2901,29,147.3,8213.0,1209774.9,25年11月11日,未网签
1,2902,29,147.3,7049.43,1038380.7,25年04月24日,已备案
1,2903,29,125.67,8051.0,1011769.2,25年11月11日,未网签
1,2904,29,125.67,8132.0,1021948.44,25年11月11日,未网签
1,3001,30,147.3,8254.0,1215814.2,25年11月11日,未网签
1,3002,30,147.3,7050.33,1038513.6,25年04月30日,已备案
1,3003,30,125.67,9438.0,1186073.5,25年11月11日,未网签
1,3004,30,125.67,8172.0,1026975.25,25年11月11日,未网签
1,3101,31,147.3,8294.0,1221706.2,25年11月11日,未网签
1,3102,31,147.3,7050.33,1038513.6,25年05月21日,已备案
1,3103,31,125.67,8132.0,1021948.44,25年11月11日,未网签
1,3104,31,125.67,8213.0,1032127.7,25年11月11日,未网签
1,3301,33,147.3,9730.0,1433229.0,25年11月11日,未网签
1,3302,33,147.3,8475.0,1248367.5,25年11月11日,未网签
1,3303,33,125.67,9542.0,1199143.1,25年11月11日,未网签
1,3304,33,125.67,9636.0,1210956.1,25年11月11日,未网签
1,3401,34,147.3,9739.0,1434554.8,25年11月11日,未网签
1,3402,34,147.3,8485.0,1249840.5,25年11月11日,未网签
1,3403,34,125.67,9551.0,1200274.1,25年11月11日,未网签
1,3404,34,125.67,9646.0,1212212.9,25年11月11日,未网签
1,3501,35,147.3,9749.0,1436027.8,25年11月11日,未网签
1,3502,35,147.3,8494.0,1251166.2,25年11月11日,未网签
1,3503,35,125.67,9560.0,1201405.2,25年11月11日,未网签
1,3504,35,125.67,9655.0,1213343.9,25年11月11日,未网签
1,3601,36,147.3,9758.0,1437353.4,25年11月11日,未网签
1,3602,36,147.3,8504.0,1252639.2,25年11月11日,未网签
1,3603,36,125.67,9570.0,1202661.9,25年11月11日,未网签
1,3604,36,125.67,9664.0,1214474.9,25年11月11日,未网签
1,3701,37,147.3,9768.0,1438826.4,25年11月11日,未网签
1,3702,37,147.3,8513.0,1253964.9,25年11月11日,未网签
1,3703,37,125.67,9579.0,1203792.9,25年11月11日,未网签
1,3704,37,125.67,9674.0,1215731.6,25年11月11日,未网签
1,3801,38,147.3,9778.0,1440299.4,25年11月11日,未网签
1,3802,38,147.3,8608.0,1267958.4,25年11月11日,未网签
1,3803,38,125.67,9588.0,1204924.0,25年11月11日,未网签
1,3804,38,125.67,9683.0,1216862.6,25年11月11日,未网签
1,3901,39,147.3,9787.0,1441625.1,25年11月11日,未网签
1,3902,39,147.3,8701.0,1281657.2,25年11月11日,未网签
1,3903,39,125.67,9598.0,1206180.6,25年11月11日,未网签
1,3904,39,125.67,9692.0,1217993.6,25年11月11日,未网签
1,4001,40,147.3,9796.0,1442950.8,25年11月11日,未网签
1,4002,40,147.3,8711.0,1283130.2,25年11月11日,未网签
1,4003,40,125.67,9607.0,1207311.8,25年11月11日,未网签
1,4004,40,125.67,9702.0,1219250.4,25年11月11日,未网签
1,4101,41,147.3,11783.0,1735635.9,24年03月13日,已备案
1,4102,41,147.3,8721.0,1284603.2,25年11月11日,未网签
1,4103,41,125.67,9616.0,1208442.8,25年11月11日,未网签
1,4104,41,125.67,9711.0,1220381.4,25年11月11日,未网签
1,4201,42,147.3,9815.0,1445749.5,25年11月11日,未网签
1,4202,42,147.3,8730.0,1285929.0,25年11月11日,未网签
1,4203,42,125.67,9626.0,1209699.4,25年11月11日,未网签
1,4204,42,125.67,9720.0,1221512.4,25年11月11日,未网签
1,4301,43,147.3,9824.0,1447075.2,25年11月11日,未网签
1,4302,43,147.3,8740.0,1287402.0,25年11月11日,未网签
1,4303,43,125.67,9636.0,1210956.1,25年11月11日,未网签
1,4304,43,125.67,9730.0,1222769.1,25年11月11日,未网签
1,4401,44,147.3,9834.0,1448548.2,25年11月11日,未网签
1,4402,44,147.3,8749.0,1288727.8,25年11月11日,未网签
1,4403,44,125.67,9646.0,1212212.9,25年11月11日,未网签
1,4404,44,125.67,9739.0,1223900.1,25年11月11日,未网签
1,4501,45,147.3,9843.0,1449873.9,25年11月11日,未网签
1,4502,45,147.3,8758.0,1290053.4,25年11月11日,未网签
1,4503,45,125.67,9655.0,1213343.9,25年11月11日,未网签
1,4504,45,125.67,9749.0,1225156.9,25年11月11日,未网签
1,4601,46,147.3,9853.0,1451346.9,25年11月11日,未网签
1,4602,46,147.3,8768.0,1291526.4,25年11月11日,未网签
1,4603,46,125.67,9664.0,1214474.9,25年11月11日,未网签
1,4604,46,125.67,9758.0,1226287.9,25年11月11日,未网签
1,4701,47,147.3,9862.0,1452672.6,25年11月11日,未网签
1,4702,47,147.3,8777.0,1292852.1,25年11月11日,未网签
1,4703,47,125.67,9674.0,1215731.6,25年11月11日,未网签
1,4704,47,125.67,9768.0,1227544.5,25年11月11日,未网签
1,4801,48,147.3,9107.0,1341461.1,25年11月11日,未网签
1,4802,48,147.3,8022.0,1181640.6,25年11月11日,未网签
1,4803,48,125.67,8919.0,1120850.8,25年11月11日,未网签
