楼栋,房号,楼层,建筑面积,单价,总价,更新日期,已售
1,0101,1,15.52,56601.0,878447.5,24年03月13日,未网签
1,0102,1,29.21,55465.0,1620132.6,24年03月13日,未网签
1,0103,1,31.6,55465.0,1752694.0,24年03月13日,未网签
1,0104,1,54.72,49783.0,2724125.8,24年03月13日,未网签
1,0105,1,8.74,73646.0,643666.06,24年03月13日,未网签
1,0106,1,9.88,73646.0,727622.5,24年03月13日,未网签
1,0107,1,8.74,73646.0,643666.06,24年03月13日,未网签
1,0108,1,71.92,50919.0,3662094.5,24年03月13日,未网签
1,0109,1,31.69,52055.0,1649623.0,24年03月13日,未网签
1,0110,1,33.86,55465.0,1878044.9,24年03月13日,未网签
1,0111,1,25.67,40692.0,1044563.6,24年03月13日,未网签
1,0112,1,22.11,37283.0,824327.1,24年03月13日,未网签
1,0113,1,43.79,36146.0,1582833.4,24年03月13日,未网签
1,0114,1,69.83,33874.0,2365421.5,24年03月13日,未网签
1,0115,1,66.51,33874.0,2252959.8,24年03月13日,未网签
1,0116,1,54.49,36146.0,1969595.5,24年03月13日,未网签
1,0117,1,40.66,32737.0,1331086.4,24年03月13日,未网签
1,0118,1,40.68,32737.0,1331741.1,24年03月13日,未网签
1,0119,1,40.19,32737.0,1315700.0,24年03月13日,未网签
1,0120,1,38.7,32737.0,1266921.9,24年03月13日,未网签
1,0121,1,39.69,32737.0,1299331.5,24年03月13日,未网签
1,0122,1,26.3,32737.0,860983.1,24年03月13日,未网签
1,0123,1,39.69,32737.0,1299331.5,24年03月13日,未网签
1,0124,1,40.68,32737.0,1331741.1,24年03月13日,未网签
1,0125,1,34.99,33874.0,1185251.2,24年03月13日,未网签
1,0126,1,37.86,33874.0,1282469.6,24年03月13日,未网签
1,0127,1,42.96,35010.0,1504029.6,24年03月13日,未网签
1,0128,1,48.77,36146.0,1762840.4,24年03月13日,未网签
1,0129,1,69.38,38419.0,2665510.2,24年03月13日,未网签
2,0101,1,30.87,55465.0,1712204.5,24年03月13日,未网签
2,0102,1,33.65,52055.0,1751650.8,24年03月13日,未网签
2,0103,1,79.93,52055.0,4160756.2,24年03月13日,未网签
2,0104,1,8.73,74783.0,652855.56,24年03月13日,未网签
2,0105,1,9.87,74783.0,738108.2,24年03月13日,未网签
2,0106,1,8.73,74783.0,652855.56,24年03月13日,未网签
2,0107,1,70.33,53192.0,3740993.2,24年03月13日,未网签
2,0108,1,31.82,53192.0,1692569.5,24年03月13日,未网签
2,0109,1,29.77,53192.0,1583525.9,24年03月13日,未网签
2,0110,1,32.27,55465.0,1789855.5,24年03月13日,未网签
2,0111,1,56.98,50919.0,2901364.5,24年03月13日,未网签
2,0112,1,46.59,45237.0,2107591.8,24年03月13日,未网签
2,0113,1,43.01,45237.0,1945643.4,24年03月13日,未网签
2,0114,1,32.71,45237.0,1479702.2,24年03月13日,未网签
2,0115,1,29.0,46374.0,1344846.0,24年03月13日,未网签
2,0116,1,39.63,33874.0,1342426.6,24年03月13日,未网签
2,0117,1,39.63,33874.0,1342426.6,24年03月13日,未网签
2,0118,1,40.62,33874.0,1375961.9,24年03月13日,未网签
2,0119,1,32.2,33874.0,1090742.8,24年03月13日,未网签
2,0120,1,46.57,33874.0,1577512.1,24年03月13日,未网签
2,0121,1,50.52,33874.0,1711314.5,24年03月13日,未网签
2,0122,1,30.02,33874.0,1016897.5,24年03月13日,未网签
2,0123,1,57.47,33874.0,1946738.8,24年03月13日,未网签
2,0124,1,55.4,36146.0,2002488.4,24年03月13日,未网签
2,0125,1,55.54,33874.0,1881362.0,24年03月13日,未网签
2,0126,1,55.54,33874.0,1881362.0,24年03月13日,未网签
2,0127,1,71.28,35010.0,2495512.8,24年03月13日,未网签
2,0128,1,22.08,37283.0,823208.6,24年03月13日,未网签
2,0129,1,25.02,40692.0,1018113.8,24年03月13日,未网签
3,0101,1,48.72,24783.0,1207427.8,24年03月13日,未网签
3,0102,1,46.0,22510.0,1035460.0,24年03月13日,未网签
3,0103,1,46.0,22510.0,1035460.0,24年03月13日,未网签
3,0104,1,47.15,22510.0,1061346.5,24年03月13日,未网签
3,0110,1,33.35,22510.0,750708.5,24年03月13日,未网签
3,0111,1,33.92,24783.0,840639.4,24年03月13日,未网签
